stage_index,stage,epoch,train_loss,train_acc,val_loss,val_acc,val_wauc,started_at,train_seconds,validation_seconds,epoch_elapsed_seconds,stage_elapsed_seconds,learning_rate,trainable_parameter_count,frozen_parameter_count,selected_best_state
0,head_stem,1,0.6256146306991577,0.5040833333333333,0.44130939682324727,0.443,0.5865011640211639,2026-07-21T16:18:03.552907+00:00,98.31942323199837,5.0772077629990235,103.39748996499839,103.39933321300123,0.001,2209,4006620,True
0,head_stem,2,1.0181766660610834,0.4886666666666667,0.51298854748408,0.4523333333333333,0.5856537566137566,2026-07-21T16:19:47.218454+00:00,98.52430124500097,5.045295931002329,103.57032603500193,207.06946096600223,0.001,2209,4006620,False
0,head_stem,3,0.8925330585837364,0.5090833333333333,0.3583784730434418,0.5293333333333333,0.5847428571428572,2026-07-21T16:21:30.841239+00:00,98.71145303199955,4.914495852000982,103.62657593300173,310.69677625900295,0.001,2209,4006620,False
0,head_stem,4,0.4270260433753332,0.4826666666666667,0.3656086950302124,0.5323333333333333,0.5855805291005292,2026-07-21T16:23:14.118853+00:00,98.39043648599909,4.891870013998414,103.28283024099801,413.98029025399956,0.001,2209,4006620,False
1,feature_8,1,0.3653892580072085,0.49491666666666667,0.3538388116359711,0.705,0.5855650793650794,2026-07-21T16:24:00.189021+00:00,41.05509822299791,4.916217794998374,45.97169364699948,45.97452946900012,0.0001,413441,3595388,True
1,feature_8,2,0.35940324465433754,0.509,0.3485995140870412,0.7456666666666667,0.5865356613756614,2026-07-21T16:24:46.115727+00:00,41.117983684001956,4.7062462819994835,45.82461870200132,91.90582095900027,0.0001,413441,3595388,True
1,feature_8,3,0.3607372155586878,0.5057083333333333,0.3501125955581665,0.25433333333333336,0.5896042328042329,2026-07-21T16:25:31.593259+00:00,40.66354539900203,4.714189485999668,45.37824532599916,137.38482506799846,0.0001,413441,3595388,True
1,feature_8,4,0.3582404022216797,0.51325,0.34763436603546144,0.7463333333333333,0.584834708994709,2026-07-21T16:26:18.465392+00:00,41.88549113499903,4.901821387000382,46.78774651799904,184.26826508299928,0.0001,413441,3595388,False
1,feature_8,5,0.3580646371444066,0.506125,0.3499197140534719,0.25466666666666665,0.5856514285714287,2026-07-21T16:27:05.771487+00:00,42.41218596700128,4.896342561001802,47.30896552800186,231.57784874700155,0.0001,413441,3595388,False
1,feature_8,6,0.3568282562891642,0.501,0.3479025028546651,0.438,0.5867703703703704,2026-07-21T16:27:52.876324+00:00,42.22408612000072,4.881409633999283,47.10593499300012,278.6844318399999,0.0001,413441,3595388,False
2,feature_7,1,0.3478748211463292,0.499875,0.34657818643252053,0.276,0.5870201058201058,2026-07-21T16:28:40.490572+00:00,42.53392182800235,4.994305702999554,47.52881966100176,47.53072503200019,0.0001,718513,3290316,True
2,feature_7,2,0.3473739405075709,0.5063333333333333,0.3472368578910828,0.25033333333333335,0.5865892063492064,2026-07-21T16:29:27.982513+00:00,42.46408510100082,4.929469921000418,47.39400826099882,95.02472801299882,0.0001,718513,3290316,False
2,feature_7,3,0.34756796753406527,0.48120833333333335,0.34844301144282025,0.75,0.5858349206349207,2026-07-21T16:30:15.596409+00:00,42.65502934399774,4.9612188000028254,47.61666897699979,142.64195793700128,0.0001,718513,3290316,False
2,feature_7,4,0.3473446170091629,0.504875,0.3467284241517385,0.7493333333333333,0.5849343915343915,2026-07-21T16:31:02.899867+00:00,42.43014343899995,4.873797722000745,47.30455111000265,189.947214404001,0.0001,718513,3290316,False
3,feature_6,1,0.34733572192986806,0.5120416666666666,0.34789759492874145,0.25,0.5859817989417989,2026-07-21T16:32:00.553379+00:00,52.73381974400036,4.851858338999591,57.5861688240002,57.58821706999879,0.0001,2027629,1981200,True
3,feature_6,2,0.34743357026576993,0.494,0.3466487193107605,0.25266666666666665,0.5854256084656085,2026-07-21T16:32:58.105475+00:00,52.54918201699911,4.875894991000678,57.42555594700025,115.1440594179985,0.0001,2027629,1981200,False
3,feature_6,3,0.34762575463453926,0.5001666666666666,0.3466992858250936,0.25366666666666665,0.5854601058201059,2026-07-21T16:33:55.709511+00:00,52.66375410500041,4.9428795330022695,57.60717178200139,172.75170343799982,0.0001,2027629,1981200,False
3,feature_6,4,0.3472345949014028,0.5085833333333334,0.34668258380889894,0.25533333333333336,0.5861928042328043,2026-07-21T16:34:53.321711+00:00,52.7116219419986,4.902580328001932,57.614683312000125,230.36777716299912,0.0001,2027629,1981200,True
3,feature_6,5,0.3473995754321416,0.48841666666666667,0.3465740474065145,0.259,0.5859849735449736,2026-07-21T16:35:51.256631+00:00,52.9093695470001,4.9052559199990355,57.81517341500148,288.3063946379989,0.0001,2027629,1981200,False
3,feature_6,6,0.3474808841546377,0.5042916666666667,0.3466215182940165,0.75,0.5865955555555556,2026-07-21T16:36:49.075903+00:00,52.95854771000086,4.862622783999541,57.82215377399916,346.1290191509979,0.0001,2027629,1981200,True
3,feature_6,7,0.3473175607919693,0.5039166666666667,0.3473036604722341,0.25,0.5857051851851852,2026-07-21T16:37:46.958867+00:00,52.89592158300002,4.8768796649965225,57.77345880699795,404.01641075399675,0.0001,2027629,1981200,False
3,feature_6,8,0.347323924779892,0.4884583333333333,0.3466167635122935,0.254,0.5857957671957672,2026-07-21T16:38:44.780444+00:00,52.94028340599834,4.883758279000176,57.82488765299786,461.84174984799756,0.0001,2027629,1981200,False
4,feature_5,1,0.347757499396801,0.505,0.3470317778587341,0.25,0.5857826455026455,2026-07-21T16:39:50.426966+00:00,60.66739008800141,4.905724674001249,65.5736468690011,65.57629908099989,0.0001,544429,3464400,True
4,feature_5,2,0.34739391499757766,0.486625,0.3466679739157359,0.7473333333333333,0.5868455026455027,2026-07-21T16:40:55.825160+00:00,60.33268816499913,4.943969432999438,65.27733067900044,130.98018904499986,0.0001,544429,3464400,True
4,feature_5,3,0.3474918845891953,0.5032083333333334,0.3465974014600118,0.25,0.5868311111111112,2026-07-21T16:42:01.081153+00:00,60.292331649001426,4.868029648998345,65.16080795900052,196.24272965699856,0.0001,544429,3464400,False
4,feature_5,4,0.34750745598475136,0.48933333333333334,0.34658145332336426,0.25066666666666665,0.5868905820105821,2026-07-21T16:43:06.229883+00:00,60.26188257800095,4.893542783000157,65.15606483599913,261.3993629609977,0.0001,544429,3464400,False
4,feature_5,5,0.3475973514318466,0.5160416666666666,0.3468074503739675,0.7486666666666667,0.5866412698412699,2026-07-21T16:44:11.541656+00:00,60.311422414000845,5.004532123999525,65.31646119499783,326.7163909169976,0.0001,544429,3464400,False
5,feature_4,1,0.34752699848016105,0.49233333333333335,0.3468356407483419,0.75,0.585256507936508,2026-07-21T16:45:20.174955+00:00,63.62431502400068,4.950971070000378,68.57587756000066,68.57881929200084,0.0001,244211,3764618,True
5,feature_4,2,0.3473879766066869,0.509625,0.3469838884671529,0.25,0.5856867724867725,2026-07-21T16:46:28.827969+00:00,63.6305163850011,4.926797186999465,68.55790223700023,137.23730929399972,0.0001,244211,3764618,True
5,feature_4,3,0.3473704564372698,0.506875,0.34782572730382283,0.25,0.5857134391534391,2026-07-21T16:47:37.293950+00:00,63.43083309299982,4.902532660998986,68.33386290699855,205.71199530900049,0.0001,244211,3764618,False
5,feature_4,4,0.34775946096579236,0.484,0.34779470443725585,0.75,0.5857191534391534,2026-07-21T16:48:46.001264+00:00,63.785215379000874,4.928394705999381,68.71428525800002,274.42676921100065,0.0001,244211,3764618,False
5,feature_4,5,0.34769374267260234,0.49904166666666666,0.34660009924570717,0.7383333333333333,0.5856266666666667,2026-07-21T16:49:54.674789+00:00,63.77747963299771,4.911558240000886,68.68953705400054,343.1167688150017,0.0001,244211,3764618,False
6,feature_3,1,0.34716820836067197,0.505125,0.34659780581792193,0.33266666666666667,0.5852410582010583,2026-07-21T16:51:11.934319+00:00,72.53738255099961,4.666249545000028,77.20437448200028,77.20670820899977,0.0001,47921,3960908,True
6,feature_3,2,0.34748018403848013,0.48804166666666665,0.3473763969739278,0.75,0.5853337566137566,2026-07-21T16:52:28.200472+00:00,71.39432523999858,4.763574900000094,76.15869069600012,153.47639162300038,0.0001,47921,3960908,False
6,feature_3,3,0.3471184182167053,0.5221666666666667,0.3466859629948934,0.75,0.5853318518518519,2026-07-21T16:53:42.803340+00:00,70.04574777000016,4.561634739002329,74.60798055299892,228.08492241500062,0.0001,47921,3960908,False
