epoch,train_loss,train_acc,val_loss,val_acc,val_wauc
1,0.34871642231941224,0.47875,0.3465711796283722,0.43666666666666665,0.19792592592592592
2,0.3478770065307617,0.48875,0.3467571107546488,0.7233333333333334,0.19527901234567902
3,0.3483936631679535,0.5154166666666666,0.34961217443148296,0.71,0.19589135802469135
4,0.3478473997116089,0.4683333333333333,0.3485733111699422,0.25333333333333335,0.19492345679012346
5,0.3489213919639587,0.4945833333333333,0.3468812612692515,0.42333333333333334,0.19474567901234566
6,0.34758196274439496,0.49416666666666664,0.3473152148723602,0.6633333333333333,0.1992493827160494
7,0.3473991870880127,0.4633333333333333,0.3471778875589371,0.36333333333333334,0.1964641975308642
8,0.34811490535736084,0.475,0.34650357445081076,0.3333333333333333,0.18874074074074074
9,0.3476039171218872,0.4841666666666667,0.3469482390085856,0.6366666666666667,0.19877530864197532
10,0.34730408191680906,0.40041666666666664,0.3477368434270223,0.3933333333333333,0.19915061728395064
11,0.3472474737962087,0.46041666666666664,0.34647505621115365,0.3566666666666667,0.19279012345679014
12,0.34726179599761964,0.5266666666666666,0.3467351088921229,0.68,0.19472592592592594
13,0.3476382605234782,0.5383333333333333,0.3462243946393331,0.5333333333333333,0.19071604938271605
14,0.3474389704068502,0.47041666666666665,0.34670580744743346,0.39,0.19668148148148148
15,0.3472690471013387,0.45375,0.34798701624075573,0.46,0.19450864197530868
16,0.34768930554389954,0.48541666666666666,0.34697733362515765,0.73,0.1880493827160494
