epoch,train_loss,train_acc,val_loss,val_acc,val_wauc
1,0.3477961112658183,0.5007083333333333,0.3481497209072113,0.331,0.1948173827160494
2,0.34738536111513774,0.50425,0.3471693477630615,0.7046666666666667,0.19452345679012348
3,0.34708115927378336,0.46066666666666667,0.34702696732680005,0.4046666666666667,0.1914328888888889
4,0.34705194385846455,0.5022916666666667,0.3467419358491898,0.7196666666666667,0.19449866666666668
5,0.3468779578208923,0.5060833333333333,0.3467462043762207,0.25533333333333336,0.19467051851851855
6,0.3468583692709605,0.5089166666666667,0.34663959642251335,0.6,0.1936400987654321
7,0.3468309250672658,0.44533333333333336,0.34664779841899873,0.569,0.19334479012345676
8,0.34689693546295164,0.5148333333333334,0.3465803697903951,0.307,0.19411693827160495
9,0.3468174041906993,0.47954166666666664,0.3465394668181737,0.7,0.19568572839506174
10,0.3467261470158895,0.492375,0.34659213689963025,0.7006666666666667,0.19398992592592593
11,0.3467365683714549,0.5197083333333333,0.3466494682232539,0.25,0.19417007407407408
12,0.3467442549864451,0.461375,0.34661502472559613,0.5146666666666667,0.1935844938271605
13,0.3467182985941569,0.5047916666666666,0.346607275724411,0.43433333333333335,0.19443417283950618
14,0.3466521045366923,0.5470833333333334,0.3466111770073573,0.2723333333333333,0.1933114074074074
15,0.34667646169662475,0.4847916666666667,0.3465662862857183,0.435,0.19507861728395062
16,0.34672362955411273,0.5141666666666667,0.34657320932547253,0.2803333333333333,0.19564641975308641
17,0.3466982143719991,0.5177916666666667,0.3465765506029129,0.35933333333333334,0.1941022222222222
18,0.3466835344632467,0.478125,0.3465650390783946,0.28733333333333333,0.1965606913580247
19,0.3466667423248291,0.48925,0.34661737183729807,0.5196666666666667,0.19404355555555555
20,0.3466730364958445,0.46091666666666664,0.3465703694025675,0.7103333333333334,0.19408424691358026
21,0.3466578579743703,0.5660416666666667,0.3465763692855835,0.714,0.19462567901234565
22,0.34664826917648317,0.5902083333333333,0.3465581493377686,0.4543333333333333,0.19547644444444442
23,0.34664505839347837,0.44558333333333333,0.3465522707303365,0.648,0.19460306172839506
24,0.3466491620540619,0.56325,0.3465457008282344,0.5446666666666666,0.19531506172839505
25,0.3466568826039632,0.4718333333333333,0.346554957151413,0.464,0.1951984197530864
26,0.346717750231425,0.49925,0.346586351275444,0.2673333333333333,0.19310261728395062
27,0.3466258146762848,0.466125,0.34656553308169047,0.29333333333333333,0.19403486419753083
28,0.34662402153015137,0.513125,0.346546373685201,0.368,0.1975347160493827
29,0.3466414471467336,0.5473333333333333,0.34655482109387714,0.32133333333333336,0.19710587654320988
30,0.3466305876572927,0.4249583333333333,0.34654422930876416,0.6096666666666667,0.19596503703703702
31,0.3466161018212636,0.5487083333333334,0.34653491202990216,0.37533333333333335,0.19560207407407407
32,0.34660848490397134,0.4500416666666667,0.34653717700640363,0.442,0.19703901234567903
33,0.34666379483540855,0.5790833333333333,0.3465600374142329,0.484,0.19465234567901235
34,0.3466529848575592,0.501125,0.3465350226163864,0.3313333333333333,0.19634676543209875
35,0.3466132554213206,0.47070833333333334,0.34653643703460696,0.39966666666666667,0.1964731851851852
36,0.3466166311899821,0.5447083333333333,0.34654649460315706,0.30433333333333334,0.19705234567901234
37,0.34661794193585715,0.4400833333333333,0.34651678653558093,0.3416666666666667,0.19788572839506177
38,0.34655773560206093,0.420125,0.3465027056535085,0.5643333333333334,0.19869827160493828
39,0.34662202541033427,0.505125,0.3464983305533727,0.365,0.1979569382716049
40,0.3465944093068441,0.613625,0.3465145333607991,0.31533333333333335,0.19755506172839507
41,0.3465987129211426,0.41458333333333336,0.34649879415829976,0.519,0.19632493827160494
42,0.3466060094833374,0.5132916666666667,0.3464897988637288,0.41733333333333333,0.1972333827160494
43,0.3465970745881399,0.49141666666666667,0.34651718378067015,0.48333333333333334,0.19746133333333335
44,0.34660452421506244,0.5023333333333333,0.3464871025880178,0.375,0.19762202469135803
45,0.34657509811719256,0.505,0.34656037787596383,0.2826666666666667,0.1971352098765432
46,0.34657787879308066,0.44945833333333335,0.3465027052164078,0.3323333333333333,0.19782755555555553
47,0.3465357579390208,0.482625,0.34646171422799427,0.393,0.19682637037037035
48,0.34657621272404987,0.5138333333333334,0.34658879959583283,0.2846666666666667,0.19668592592592593
