bin_left,bin_right,cover_count,stego_count
0.0,0.025,0,0
0.025,0.05,0,0
0.05,0.07500000000000001,0,0
0.07500000000000001,0.1,0,0
0.1,0.125,0,0
0.125,0.15000000000000002,0,0
0.15000000000000002,0.17500000000000002,0,0
0.17500000000000002,0.2,0,0
0.2,0.225,0,0
0.225,0.25,0,0
0.25,0.275,0,0
0.275,0.30000000000000004,0,0
0.30000000000000004,0.325,0,0
0.325,0.35000000000000003,0,0
0.35000000000000003,0.375,0,0
0.375,0.4,0,0
0.4,0.42500000000000004,0,0
0.42500000000000004,0.45,0,0
0.45,0.47500000000000003,0,0
0.47500000000000003,0.5,4056,12056
0.5,0.525,3255,9851
0.525,0.55,150,463
0.55,0.5750000000000001,24,84
0.5750000000000001,0.6000000000000001,10,31
0.6000000000000001,0.625,2,6
0.625,0.65,2,6
0.65,0.675,1,3
0.675,0.7000000000000001,0,0
0.7000000000000001,0.7250000000000001,0,0
0.7250000000000001,0.75,0,0
0.75,0.775,0,0
0.775,0.8,0,0
0.8,0.8250000000000001,0,0
0.8250000000000001,0.8500000000000001,0,0
0.8500000000000001,0.875,0,0
0.875,0.9,0,0
0.9,0.925,0,0
0.925,0.9500000000000001,0,0
0.9500000000000001,0.9750000000000001,0,0
0.9750000000000001,1.0,0,0
