epoch,train_loss,train_acc,val_loss,val_acc,val_wauc
1,0.3537405788898468,0.4841666666666667,0.34805471340815225,0.4666666666666667,0.19741234567901234
2,0.3535543171564738,0.48583333333333334,0.3510680091381073,0.36333333333333334,0.19103209876543206
3,0.3555482808748881,0.45708333333333334,0.3501015253861745,0.4766666666666667,0.18919506172839506
4,0.3544995216528575,0.4508333333333333,0.35299660384654996,0.61,0.18599506172839508
